H R 5046,Title,YEA,NAY,H.R.4641,Title,YEA,NAY,H RES 720,Title,YEA,NAY,H RES 720,Title,YEA,NAY,H R 5052,Title,YEA,NAY,H R 6,Title,YEA,NAY,H R 6,Title,YEA,NAY,H RES 949,Title,YEA,NAY,H RES 949,Title,YEA,NAY,H R 5687,Title,YEA,NAY,H R 5788,Title,YEA,NAY,H RES 934,Title,YEA,NAY,H RES 934,Title,YEA,NAY,H R 5327,Title,YEA,NAY,H R 3832,Title,YEA,NAY,,Name,state,FIPS,year,District,Party,Total_YEA,Total_NAY
,,Fleischmann,,,,Fortenberry,,,,Kelly (MS),Price (NC),,,MacArthur,Pallone,,,Fleming,,,,Fortenberry,,,,Moulton,Lamborn,,,Long,Meng,,,Love,Moore,,,Guthrie,,,,Gibbs,,,,LaHood,Panetta,,,Lamborn,Nolan,,,Gallagher,,,,Gallagher,,,"Representative Evans, Dwight",Pennsylvania,42,House: 2016-Present,3,Democratic,13,1
,,Fleming,,,,Foster,,,,Kelly (PA),Quigley,,,Marchant,Pascrell,,,Flores,,,,Foster,,,,Murphy (FL),Lance,,,Loudermilk,Moore,,,Lucas,Moulton,,,Hanabusa,,,,Gohmert,,,,LaMalfa,Pascrell,,,Lance,Norcross,,,Gallego,,,,Gallego,,,"Representative Ferguson, A. Drew, IV",Georgia,13,House: 2017-Present,3,Republican,8,4
,,Flores,,,,Foxx,,,,King (IA),Rangel,,,Marino,Payne,,,Forbes,,,,Foxx,,,,Nadler,Latta,,,Love,Moulton,,,Luetkemeyer,Murphy (FL),,,Handel,,,,Gomez,,,,Lamb,Payne,,,Latta,O'Halleran,,,Garamendi,,,,Garamendi,,,"Representative Finkenauer, Abby",Iowa,19,House: 2019-Present,1,Democratic,0,0
,,Forbes,,,,Frankel (FL),,,,King (NY),Rice (NY),,,Massie,Pelosi,,,Fortenberry,,,,Frankel (FL),,,,Napolitano,Lesko,,,Lucas,Nadler,,,MacArthur,Nadler,,,Harper,,,,Goodlatte,,,,Lamborn,Pelosi,,,Lesko,O'Rourke,,,Gianforte,,,,Garrett,,,"Representative Fitzpatrick, Brian K.",Pennsylvania,42,House: 2017-Present,1,Republican,0,0
,,Fortenberry,,,,Frelinghuysen,,,,Kinzinger (IL),Richmond,,,McCarthy,Perlmutter,,,Foster,,,,Frelinghuysen,,,,Neal,Lewis (MN),,,Luetkemeyer,Napolitano,,,Marchant,Napolitano,,,Harris,,,,Gosar,,,,Lance,Perlmutter,,,Lewis (MN),Pallone,,,Gibbs,,,,Gianforte,,,"Representative Fleischmann, Charles J. ""Chuck""",Tennessee,47,House: 2011-Present,3,Republican,6,4
,,Foster,,,,Fudge,,,,Kline,Roybal-Allard,,,McCaul,Peters,,,Foxx,,,,Fudge,,,,Nolan,LoBiondo,,,MacArthur,Neal,,,Marino,Neal,,,Hartzler,,,,Gottheimer,,,,Latta,Peters,,,LoBiondo,Panetta,,,Gomez,,,,Gibbs,,,"Representative Fletcher, Lizzie",Texas,48,House: 2019-Present,7,Democratic,9,6
,,Foxx,,,,Gabbard,,,,Knight,Ruiz,,,McClintock,Peterson,,,Franks (AZ),,,,Gabbard,,,,Norcross,Long,,,Marchant,Nolan,,,Marshall,Nolan,,,Hastings,,,,Gowdy,,,,Lesko,Peterson,,,Long,Pascrell,,,Gonzalez (TX),,,,Gohmert,,,"Representative Flores, Bill",Texas,48,House: 2011-Present,17,Republican,14,1
,,Frankel (FL),,,,Gallego,,,,Labrador,Rush,,,McHenry,Pingree,,,Frelinghuysen,,,,Gallagher,,,,O'Halleran,Loudermilk,,,Marino,Norcross,,,Massie,Norcross,,,Heck,,,,Granger,,,,Lewis (MN),Pingree,,,Loudermilk,Payne,,,Goodlatte,,,,Gomez,,,"Representative Fortenberry, Jeff",Nebraska,31,House: 2005-Present,1,Republican,7,1
,,Franks (AZ),,,,Garamendi,,,,LaHood,Ryan (OH),,,McKinley,Pocan,,,Fudge,,,,Gallego,,,,O'Rourke,Love,,,Marshall,O'Halleran,,,Mast,O'Halleran,,,"Hice, Jody B.",,,,Graves (GA),,,,LoBiondo,Pocan,,,Love,Pelosi,,,Gottheimer,,,,Gonzalez (TX),,,"Representative Foster, Bill",Illinois,17,"House: 2008-2011, 2013-Present",11,Democratic,8,5
,,Frelinghuysen,,,,Garrett,,,,LaMalfa,"Sánchez, Linda T.",,,McMorris Rodgers,Polis,,,Gabbard,,,,Garamendi,,,,Pallone,Lucas,,,Mast,O'Rourke,,,McCarthy,O'Rourke,,,Higgins (LA),,,,Graves (LA),,,,Long,Polis,,,Lucas,Perlmutter,,,Granger,,,,Goodlatte,,,"Representative Foxx, Virginia",North Carolina,37,House: 2005-Present,5,Republican,0,0
,,Fudge,,,,Gibbs,,,,Lamborn,"Sanchez, Loretta",,,McSally,Price (NC),,,Gallego,,,,Gianforte,,,,Panetta,Luetkemeyer,,,McCarthy,Pallone,,,McCaul,Pallone,,,Higgins (NY),,,,Graves (MO),,,,Loudermilk,Price (NC),,,Luetkemeyer,Peters,,,Graves (GA),,,,Gosar,,,"Representative Frankel, Lois",Florida,12,House: 2013-Present,21,Democratic,0,0
,,Gabbard,,,,Gibson,,,,Lance,Sarbanes,,,Meadows,Quigley,,,Garamendi,,,,Gibbs,,,,Pascrell,MacArthur,,,McCaul,Panetta,,,McClintock,Panetta,,,Hill,,,,Grothman,,,,Love,Quigley,,,MacArthur,Peterson,,,Graves (LA),,,,Gottheimer,,,"Representative Fudge, Marcia L.",Ohio,39,House: 2008-Present,11,Democratic,7,7
,,Gallego,,,,Gohmert,,,,LoBiondo,Schakowsky,,,Messer,Rangel,,,Garrett,,,,Gomez,,,,Pelosi,Marino,,,McClintock,Payne,,,McHenry,Pascrell,,,Himes,,,,Guthrie,,,,Lucas,Raskin,,,Marchant,Pingree,,,Graves (MO),,,,Granger,,,"Representative Fulcher, Russ",Idaho,16,House: 2019-Present,1,Republican,7,8
,,Garrett,,,,Gosar,,,,Long,Schrader,,,Mica,Rice (NY),,,Gibbs,,,,Goodlatte,,,,Perlmutter,Marshall,,,McHenry,Perlmutter,,,McKinley,Payne,,,Holding,,,,Gutiérrez,,,,Luetkemeyer,Rice (NY),,,Marino,Pocan,,,"Green, Gene",,,,Graves (GA),,,"Representative Gabbard, Tulsi",Hawaii,15,House: 2013-Present,2,Democratic,14,1
,,Gibbs,,,,Gowdy,,,,Loudermilk,Scott (VA),,,Miller (FL),Richmond,,,Gibson,,,,Gottheimer,,,,Peters,Massie,,,McKinley,Peters,,,McMorris Rodgers,Perlmutter,,,Hollingsworth,,,,Handel,,,,MacArthur,Richmond,,,Marshall,Polis,,,Griffith,,,,Graves (LA),,,"Representative Gaetz, Matt",Florida,12,House: 2017-Present,1,Republican,2,8
,,Gibson,,,,Graham,,,,Love,"Scott, David",,,Miller (MI),Roybal-Allard,,,Gohmert,,,,Gowdy,,,,Peterson,Mast,,,McMorris Rodgers,Peterson,,,McSally,Peters,,,Hoyer,,,,Harper,,,,Marchant,Rosen,,,Massie,Price (NC),,,Grijalva,,,,Graves (MO),,,"Representative Gallagher, Mike",Wisconsin,55,House: 2017-Present,8,Republican,14,1
,,Goodlatte,,,,Granger,,,,Lucas,Serrano,,,Moolenaar,Ruiz,,,Goodlatte,,,,Granger,,,,Pingree,McCarthy,,,McSally,Pingree,,,Meadows,Peterson,,,Hudson,,,,Harris,,,,Marino,Roybal-Allard,,,Mast,Quigley,,,Grothman,,,,"Green, Al",,,"Representative Gallego, Ruben",Arizona,4,House: 2015-Present,7,Democratic,9,6
,,Gosar,,,,Graves (GA),,,,Luetkemeyer,Sewell (AL),,,Mooney (WV),Ruppersberger,,,Gosar,,,,Graves (GA),,,,Pocan,McCaul,,,Meadows,Pocan,,,Messer,Pingree,,,Huffman,,,,Hartzler,,,,Marshall,Ruiz,,,McCarthy,Raskin,,,Guthrie,,,,"Green, Gene",,,"Representative Garamendi, John",California,6,House: 2009-Present,3,Democratic,14,1
,,Gowdy,,,,Graves (LA),,,,Lummis,Sherman,,,Mullin,Rush,,,Gowdy,,,,Graves (LA),,,,Polis,McClintock,,,Messer,Price (NC),,,Mitchell,Pocan,,,Huizenga,,,,Heck,,,,Massie,Ruppersberger,,,McCaul,Rice (NY),,,Gutiérrez,,,,Griffith,,,"Representative Garcia, Jesus G. ""Chuy""",Illinois,17,House: 2019-Present,4,Democratic,11,4
,,Graham,,,,Graves (MO),,,,Lynch,Sires,,,Mulvaney,Ryan (OH),,,Graham,,,,Graves (MO),,,,Price (NC),McHenry,,,Mitchell,Quigley,,,Moolenaar,Price (NC),,,Hultgren,,,,Hensarling,,,,Mast,Rush,,,McClintock,Richmond,,,Hanabusa,,,,Grijalva,,,"Representative Garcia, Sylvia R.",Texas,48,House: 2019-Present,29,Democratic,14,1
,,Granger,,,,Grayson,,,,MacArthur,Slaughter,,,Murphy (PA),"Sánchez, Linda T.",,,Granger,,,,"Green, Al",,,,Quigley,McKinley,,,Moolenaar,Raskin,,,Mooney (WV),Quigley,,,Hunter,,,,Herrera Beutler,,,,McCarthy,Ryan (OH),,,McHenry,Rosen,,,Handel,,,,Grothman,,,"Representative Gianforte, Greg",Montana,30,House: 2017-Present,,Republican,0,0
,,Graves (GA),,,,"Green, Al",,,,Marchant,Smith (WA),,,Neugebauer,"Sanchez, Loretta",,,Graves (GA),,,,"Green, Gene",,,,Raskin,McMorris Rodgers,,,Mooney (WV),Rice (NY),,,Mullin,Raskin,,,Hurd,,,,"Hice, Jody B.",,,,McCaul,Sánchez,,,McKinley,Roybal-Allard,,,Harris,,,,Guthrie,,,"Representative Gibbs, Bob",Ohio,39,House: 2011-Present,7,Republican,7,8
,,Graves (LA),,,,"Green, Gene",,,,Marino,Speier,,,Newhouse,Sarbanes,,,Graves (LA),,,,Griffith,,,,Rice (NY),McSally,,,Mullin,Richmond,,,Newhouse,Rice (NY),,,Jackson Lee,,,,Higgins (LA),,,,McClintock,Sarbanes,,,McMorris Rodgers,Ruiz,,,Hartzler,,,,Hanabusa,,,"Representative Gohmert, Louie",Texas,48,House: 2005-Present,1,Republican,14,1
,,Graves (MO),,,,Griffith,,,,Massie,Swalwell (CA),,,Noem,Schakowsky,,,Graves (MO),,,,Grijalva,,,,Richmond,Meadows,,,Murphy (FL),Rosen,,,Noem,Richmond,,,Jayapal,,,,Hill,,,,McHenry,Schiff,,,McSally,Ruppersberger,,,Hastings,,,,Handel,,,"Representative Golden, Jared F.",Maine,23,House: 2019-Present,2,Democratic,0,0
,,Grayson,,,,Grijalva,,,,McCarthy,Takano,,,Nugent,Schiff,,,Grayson,,,,Grothman,,,,Rosen,Messer,,,Newhouse,Roybal-Allard,,,Norman,Rosen,,,Jeffries,,,,Holding,,,,McKinley,Schrader,,,Meadows,Rush,,,Heck,,,,Harper,,,"Representative Gomez, Jimmy",California,6,House: 2017-Present,34,Democratic,9,1
,,"Green, Al",,,,Grothman,,,,McCaul,Thompson (CA),,,Nunes,Schrader,,,"Green, Al",,,,Guthrie,,,,Roybal-Allard,Mitchell,,,Noem,Ruiz,,,Nunes,Roybal-Allard,,,Jenkins (KS),,,,Hollingsworth,,,,McMorris Rodgers,Scott (VA),,,Messer,Ryan (OH),,,Hensarling,,,,Harris,,,"Representative Gonzalez, Anthony",Ohio,39,House: 2019-Present,16,Republican,0,0
,,"Green, Gene",,,,Guinta,,,,McClintock,Thompson (MS),,,Olson,Scott (VA),,,"Green, Gene",,,,Gutiérrez,,,,Ruiz,Moolenaar,,,Norman,Ruppersberger,,,Olson,Ruiz,,,Jenkins (WV),,,,Hoyer,,,,McSally,"Scott, David",,,Mitchell,Sánchez,,,Herrera Beutler,,,,Hastings,,,"Representative Gonzalez, Vicente",Texas,48,House: 2017-Present,15,Democratic,13,1
,,Griffith,,,,Guthrie,,,,McHenry,Titus,,,Palazzo,"Scott, David",,,Griffith,,,,Handel,,,,Ruppersberger,Mooney (WV),,,Nunes,Ryan (OH),,,Palazzo,Ruppersberger,,,Johnson (GA),,,,Hudson,,,,Meadows,Serrano,,,Moolenaar,Sarbanes,,,Higgins (LA),,,,Heck,,,"Representative Gonzalez-Colon, Jenniffer",Puerto Rico,0,House: 2017-Present,,Republican,9,1
,,Grijalva,,,,Gutiérrez,,,,McKinley,Tonko,,,Palmer,Serrano,,,Grothman,,,,Harper,,,,Rush,Mullin,,,Olson,Sánchez,,,Palmer,Rush,,,Johnson (LA),,,,Huizenga,,,,Messer,Sewell (AL),,,Mooney (WV),Schakowsky,,,Higgins (NY),,,,Hensarling,,,"Representative Gooden, Lance",Texas,48,House: 2019-Present,5,Republican,0,0
,,Grothman,,,,Hahn,,,,McMorris Rodgers,Torres,,,Paulsen,Sewell (AL),,,Guinta,,,,Harris,,,,Ryan (OH),Newhouse,,,Palazzo,Sarbanes,,,Paulsen,Ryan (OH),,,Johnson (OH),,,,Hultgren,,,,Mitchell,Shea-Porter,,,Mullin,Schiff,,,Hill,,,,Herrera Beutler,,,"Representative Gosar, Paul A.",Arizona,4,House: 2011-Present,4,Republican,0,0
,,Guinta,,,,Hanna,,,,McSally,Tsongas,,,Pearce,Sherman,,,Guthrie,,,,Hartzler,,,,Sánchez,Norman,,,Palmer,Schakowsky,,,Pearce,Sánchez,,,"Johnson, E. B.",,,,Hunter,,,,Moolenaar,Sherman,,,Newhouse,Schneider,,,Himes,,,,"Hice, Jody B.",,,"Representative Gottheimer, Josh",New Jersey,34,House: 2017-Present,5,Democratic,8,1
,,Guthrie,,,,Hardy,,,,Meadows,Van Hollen,,,Perry,Sinema,,,Hahn,,,,Hastings,,,,Sarbanes,Nunes,,,Paulsen,Schiff,,,Perry,Sarbanes,,,"Johnson, Sam",,,,Hurd,,,,Mooney (WV),Sires,,,Noem,Schrader,,,Holding,,,,Higgins (NY),,,"Representative Granger, Kay",Texas,48,House: 1997-Present,12,Republican,12,1
,,Gutiérrez,,,,Harper,,,,Meehan,Vargas,,,Pittenger,Sires,,,Hanna,,,,Heck,,,,Schakowsky,Olson,,,Pearce,Schrader,,,Pittenger,Schakowsky,,,Jones,,,,Issa,,,,Mullin,Smith (WA),,,Norman,Scott (VA),,,Hollingsworth,,,,Hill,,,"Representative Graves, Garret",Louisiana,22,House: 2015-Present,6,Republican,6,4
,,Hahn,,,,Harris,,,,Messer,Veasey,,,Pitts,Speier,,,Hardy,,,,Hensarling,,,,Schiff,Palazzo,,,Perry,Scott (VA),,,Poe (TX),Schiff,,,Jordan,,,,Jenkins (KS),,,,Newhouse,Soto,,,Nunes,"Scott, David",,,Hudson,,,,Himes,,,"Representative Graves, Sam",Missouri,29,House: 2001-Present,6,Republican,8,7
,,Hanna,,,,Hartzler,,,,Mica,Vela,,,Poe (TX),Swalwell (CA),,,Harper,,,,Herrera Beutler,,,,Schneider,Palmer,,,Pittenger,"Scott, David",,,Poliquin,Schneider,,,Kaptur,,,,Jenkins (WV),,,,Noem,Speier,,,Olson,Serrano,,,Huffman,,,,Holding,,,"Representative Graves, Tom",Georgia,13,House: 2010-Present,14,Republican,5,3
,,Hardy,,,,Heck (NV),,,,Miller (FL),Velázquez,,,Poliquin,Takano,,,Harris,,,,"Hice, Jody B.",,,,Schrader,Paulsen,,,Poe (TX),Serrano,,,Posey,Schrader,,,Kelly (MS),,,,Johnson (LA),,,,Norman,Suozzi,,,Palazzo,Sewell (AL),,,Huizenga,,,,Hollingsworth,,,"Representative Green, Al",Texas,48,House: 2005-Present,9,Democratic,9,5
,,Harper,,,,Heck (WA),,,,Miller (MI),Visclosky,,,Pompeo,Thompson (CA),,,Hartzler,,,,Higgins (LA),,,,Scott (VA),Pearce,,,Poliquin,Sewell (AL),,,Ratcliffe,Scott (VA),,,Kelly (PA),,,,Johnson (OH),,,,Nunes,Swalwell (CA),,,Palmer,Shea-Porter,,,Hultgren,,,,Hoyer,,,"Representative Green, Mark E.",Tennessee,47,House: 2019-Present,7,Republican,7,1
,,Harris,,,,Hensarling,,,,Moolenaar,Wasserman Schultz,,,Posey,Thompson (MS),,,Heck (NV),,,,Higgins (NY),,,,"Scott, David",Perry,,,Posey,Shea-Porter,,,Reed,"Scott, David",,,Kennedy,,,,"Johnson, E. B.",,,,Olson,Takano,,,Paulsen,Sherman,,,Hunter,,,,Hudson,,,"Representative Griffith, H. Morgan",Virginia,51,House: 2011-Present,9,Republican,13,2
,,Hartzler,,,,"Hice, Jody B.",,,,Mooney (WV),"Waters, Maxine",,,Ratcliffe,Titus,,,Heck (WA),,,,Hill,,,,Serrano,Pittenger,,,Ratcliffe,Sherman,,,Reichert,Serrano,,,Khanna,,,,"Johnson, Sam",,,,Palazzo,Thompson (CA),,,Pearce,Sinema,,,Hurd,,,,Huffman,,,"Representative Grijalva, Raul M.",Arizona,4,House: 2003-Present,3,Democratic,6,4
,,Heck (NV),,,,Higgins,,,,Moulton,Watson Coleman,,,Reed,Tonko,,,Hensarling,,,,Himes,,,,Sewell (AL),Poe (TX),,,Reed,Sires,,,Renacci,Sewell (AL),,,Kihuen,,,,Jordan,,,,Palmer,Thompson (MS),,,Perry,Sires,,,Issa,,,,Huizenga,,,"Representative Grothman, Glenn",Wisconsin,55,House: 2015-Present,6,Republican,11,1
,,Heck (WA),,,,Hill,,,,Mullin,Welch,,,Ribble,Torres,,,"Hice, Jody B.",,,,Holding,,,,Shea-Porter,Poliquin,,,Reichert,Smith (WA),,,Rice (SC),Shea-Porter,,,Kildee,,,,Joyce (OH),,,,Paulsen,Titus,,,Pittenger,Smith (WA),,,Jackson Lee,,,,Hultgren,,,"Representative Guest, Michael",Mississippi,28,House: 2019-Present,3,Republican,13,1
,,Hensarling,,,,Himes,,,,Mulvaney,Wilson (FL),,,Roby,Tsongas,,,Higgins,,,,Hollingsworth,,,,Sherman,Posey,,,Renacci,Soto,,,Roby,Sherman,,,Kilmer,,,,Kaptur,,,,Pearce,Tonko,,,Poe (TX),Soto,,,Jayapal,,,,Hunter,,,"Representative Guthrie, Brett",Kentucky,21,House: 2009-Present,2,Republican,10,5
,,"Hice, Jody B.",,,,Hinojosa,,,,Murphy (FL),Yarmuth,,,Roe (TN),Van Hollen,,,Hill,,,,Hoyer,,,,Sinema,Ratcliffe,,,Rice (SC),Speier,,,Roe (TN),Sinema,,,Kind,,,,Katko,,,,Perry,Torres,,,Poliquin,Speier,,,Jeffries,,,,Hurd,,,"Representative Haaland, Debra A.",New Mexico,35,House: 2019-Present,1,Democratic,8,5
,,Higgins,,,,Holding,,,,Murphy (PA),,,,Rogers (KY),Veasey,,,Himes,,,,Hudson,,,,Sires,Reichert,,,Roby,Swalwell (CA),,,Rogers (AL),Sires,,,King (IA),,,,Keating,,,,Pittenger,Tsongas,,,Posey,Suozzi,,,Jenkins (KS),,,,Jackson Lee,,,"Representative Hagedorn, Jim",Minnesota,27,House: 2019-Present,1,Republican,6,4
,,Hill,,,,Honda,,,,Neugebauer,,,,Rohrabacher,Vela,,,Hinojosa,,,,Huffman,,,,Smith (WA),Renacci,,,Roe (TN),Takano,,,Rogers (KY),Smith (WA),,,King (NY),,,,Kelly (MS),,,,Poe (TX),Vargas,,,Ratcliffe,Swalwell (CA),,,Johnson (GA),,,,Jayapal,,,"Representative Harder, Josh",California,6,House: 2019-Present,10,Democratic,8,6
,,Himes,,,,Hoyer,,,,Newhouse,,,,Rooney (FL),Velázquez,,,Holding,,,,Huizenga,,,,Soto,Rice (SC),,,Rogers (AL),Thompson (CA),,,Rohrabacher,Soto,,,Kinzinger,,,,Kelly (PA),,,,Posey,Veasey,,,Reed,Takano,,,Johnson (LA),,,,Jeffries,,,"Representative Harris, Andy",Maryland,24,House: 2011-Present,1,Republican,14,1
,,Hinojosa,,,,Hudson,,,,Noem,,,,Ros-Lehtinen,Visclosky,,,Honda,,,,Hultgren,,,,Speier,Roby,,,Rogers (KY),Titus,,,Rokita,Speier,,,Knight,,,,Kennedy,,,,Ratcliffe,Vela,,,Reichert,Thompson (CA),,,Johnson (OH),,,,Jenkins (KS),,,"Representative Hartzler, Vicky",Missouri,29,House: 2011-Present,4,Republican,8,5
,,Holding,,,,Huelskamp,,,,Nugent,,,,Ross,Walz,,,Hoyer,,,,Hunter,,,,Suozzi,Roe (TN),,,Rohrabacher,Tonko,,,"Rooney, Francis",Suozzi,,,Krishnamoorthi,,,,Kihuen,,,,Reed,Velázquez,,,Renacci,Thompson (MS),,,"Johnson, E. B.",,,,Jenkins (WV),,,"Representative Hastings, Alcee L.",Florida,12,House: 1993-Present,20,Democratic,14,1
,,Honda,,,,Huffman,,,,Nunes,,,,Rothfus,Wasserman Schultz,,,Hudson,,,,Hurd,,,,Swalwell (CA),Rogers (AL),,,Rokita,Torres,,,"Rooney, Thomas J.",Swalwell (CA),,,Kuster (NH),,,,Kildee,,,,Reichert,Visclosky,,,Rice (SC),Titus,,,"Johnson, Sam",,,,Johnson (GA),,,"Representative Hayes, Jahana",Connecticut,9,House: 2019-Present,5,Democratic,0,0
,,Hoyer,,,,Huizenga (MI),,,,Olson,,,,Rouzer,"Waters, Maxine",,,Huelskamp,,,,Issa,,,,Takano,Rogers (KY),,,"Rooney, Francis",Tsongas,,,Ros-Lehtinen,Takano,,,Kustoff (TN),,,,Kilmer,,,,Renacci,Wasserman Schultz,,,Roby,Tonko,,,Jordan,,,,Johnson (LA),,,"Representative Heck, Denny",Washington,53,House: 2013-Present,10,Democratic,10,5
,,Hudson,,,,Hultgren,,,,Palazzo,,,,Royce,Watson Coleman,,,Huffman,,,,Jackson Lee,,,,Thompson (CA),Rohrabacher,,,"Rooney, Thomas J.",Vargas,,,Roskam,Thompson (CA),,,LaMalfa,,,,Kind,,,,Rice (SC),"Waters, Maxine",,,Roe (TN),Torres,,,Joyce (OH),,,,Johnson (OH),,,"Representative Hern, Kevin",Oklahoma,40,House: 2018-Present,1,Republican,14,1
,,Huelskamp,,,,Hunter,,,,Palmer,,,,Salmon,Wilson (FL),,,Huizenga (MI),,,,Jayapal,,,,Thompson (MS),"Rooney, Francis",,,Ros-Lehtinen,Veasey,,,Ross,Titus,,,Lamb,,,,King (IA),,,,Roby,Watson Coleman,,,Rogers (AL),Tsongas,,,Kaptur,,,,"Johnson, E. B.",,,"Representative Herrera Beutler, Jaime",Washington,53,House: 2011-Present,3,Republican,3,6
,,Huffman,,,,Hurd (TX),,,,Pascrell,,,,Sanford,Yarmuth,,,Hultgren,,,,Jeffries,,,,Tonko,Ros-Lehtinen,,,Roskam,Velázquez,,,Rothfus,Tonko,,,Lamborn,,,,King (NY),,,,Roe (TN),Welch,,,Rogers (KY),Vargas,,,Katko,,,,"Johnson, Sam",,,"Representative Hice, Jody B.",Georgia,13,House: 2015-Present,10,Republican,9,6
,,Huizenga (MI),,,,Hurt (VA),,,,Paulsen,,,,Scalise,,,,Hunter,,,,Jenkins (KS),,,,Torres,Roskam,,,Ross,Visclosky,,,Rouzer,Torres,,,Lance,,,,Kinzinger,,,,Rogers (AL),Wilson (FL),,,Rohrabacher,Veasey,,,Keating,,,,Jones,,,"Representative Higgins, Brian",New York,36,House: 2005-Present,26,Democratic,12,1
,,Hultgren,,,,Israel,,,,Pearce,,,,Schweikert,,,,Hurd (TX),,,,Jenkins (WV),,,,Tsongas,Ross,,,Rothfus,Wasserman Schultz,,,Royce (CA),Tsongas,,,Langevin,,,,Knight,,,,Rogers (KY),Yarmuth,,,Rokita,Vela,,,Kelly (IL),,,,Jordan,,,"Representative Higgins, Clay",Louisiana,22,House: 2017-Present,3,Republican,13,2
,,Hunter,,,,Issa,,,,Perry,,,,"Scott, Austin",,,,Hurt (VA),,,,Johnson (GA),,,,Vargas,Rothfus,,,Rouzer,"Waters, Maxine",,,Russell,Vargas,,,Larsen (WA),,,,Krishnamoorthi,,,,Rokita,,,,"Rooney, Francis",Velázquez,,,Kelly (MS),,,,Joyce (OH),,,"Representative Hill, J. French",Arkansas,5,House: 2015-Present,2,Republican,14,1
,,Hurd (TX),,,,Jackson Lee,,,,Pittenger,,,,Sensenbrenner,,,,Israel,,,,Johnson (LA),,,,Vela,Rouzer,,,Royce (CA),Watson Coleman,,,Rutherford,Veasey,,,Larson (CT),,,,Kuster (NH),,,,"Rooney, Francis",,,,"Rooney, Thomas J.",Visclosky,,,Kelly (PA),,,,Kaptur,,,"Representative Hill, Katie",California,6,House: 2019-Present,25,Democratic,9,1
,,Hurt (VA),,,,Jeffries,,,,Poe (TX),,,,Sessions,,,,Issa,,,,Johnson (OH),,,,Velázquez,Royce (CA),,,Russell,Welch,,,Sanford,Velázquez,,,Latta,,,,Kustoff (TN),,,,"Rooney, Thomas J.",,,,Ros-Lehtinen,Wasserman Schultz,,,Kennedy,,,,Katko,,,"Representative Himes, James A.",Connecticut,9,House: 2009-Present,4,Democratic,0,0
,,Israel,,,,Jenkins (KS),,,,Poliquin,,,,Shimkus,,,,Jackson Lee,,,,"Johnson, E. B.",,,,Visclosky,Russell,,,Rutherford,Wilson (FL),,,Scalise,Visclosky,,,Lawrence,,,,LaHood,,,,Ros-Lehtinen,,,,Roskam,"Waters, Maxine",,,Khanna,,,,Keating,,,"Representative Holding, George",North Carolina,37,House: 2013-Present,2,Republican,13,1
,,Issa,,,,Jenkins (WV),,,,Pompeo,,,,Shuster,,,,Jeffries,,,,"Johnson, Sam",,,,Wasserman Schultz,Rutherford,,,Sanford,Yarmuth,,,Schweikert,Wasserman Schultz,,,Lawson (FL),,,,LaMalfa,,,,Roskam,,,,Ross,Watson Coleman,,,Kihuen,,,,Kelly (MS),,,"Representative Hollingsworth, Trey",Indiana,18,House: 2017-Present,9,Republican,9,6
,,Jackson Lee,,,,Johnson (GA),,,,Posey,,,,Simpson,,,,Jenkins (KS),,,,Jordan,,,,"Waters, Maxine",Sanford,,,Scalise,,,,"Scott, Austin","Waters, Maxine",,,Lee,,,,Lamb,,,,Ross,,,,Rothfus,Welch,,,Kildee,,,,Kelly (PA),,,"Representative Horn, Kendra S.",Oklahoma,40,House: 2019-Present,5,Democratic,7,6
,,Jeffries,,,,Johnson (OH),,,,"Price, Tom",,,,Smith (MO),,,,Jenkins (WV),,,,Joyce (OH),,,,Watson Coleman,Scalise,,,Schneider,,,,Sensenbrenner,Watson Coleman,,,Lesko,,,,Lamborn,,,,Rothfus,,,,Rouzer,Wilson (FL),,,Kilmer,,,,Kennedy,,,"Representative Horsford, Steven",Nevada,32,"House: 2013-2015, 2019-Present",4,Democratic,14,1
,,Jenkins (KS),,,,"Johnson, E. B.",,,,Ratcliffe,,,,Smith (NJ),,,,Johnson (GA),,,,Kaptur,,,,Welch,Schweikert,,,Schweikert,,,,Sessions,Welch,,,Levin,,,,Lance,,,,Rouzer,,,,Royce (CA),Yarmuth,,,Kind,,,,Khanna,,,"Representative Houlahan, Chrissy",Pennsylvania,42,House: 2019-Present,6,Democratic,14,1
,,Jenkins (WV),,,,"Johnson, Sam",,,,Reed,,,,Smith (TX),,,,Johnson (OH),,,,Katko,,,,Wilson (FL),"Scott, Austin",,,"Scott, Austin",,,,Shimkus,Wilson (FL),,,Lewis (GA),,,,Langevin,,,,Royce (CA),,,,Russell,,,,King (IA),,,,Kihuen,,,"Representative Hoyer, Steny H.",Maryland,24,House: 1981-Present,5,Democratic,6,5
,,Johnson (GA),,,,Jolly,,,,Reichert,,,,Stefanik,,,,"Johnson, E. B.",,,,Keating,,,,Yarmuth,Sensenbrenner,,,Sensenbrenner,,,,Shuster,Yarmuth,,,Lewis (MN),,,,Larsen (WA),,,,Russell,,,,Rutherford,,,,Kinzinger,,,,Kildee,,,"Representative Hudson, Richard",North Carolina,37,House: 2013-Present,8,Republican,9,6
