STATEFP,STATE,STATEABBREVIATION,DISTRICT,YEAR,INDICATOR,VALUE
45,South Carolina,SC,1,2010,drugdeaths,121
45,South Carolina,SC,1,2011,drugdeaths,105
45,South Carolina,SC,1,2012,drugdeaths,95
45,South Carolina,SC,1,2013,drugdeaths,104
45,South Carolina,SC,1,2014,drugdeaths,111
45,South Carolina,SC,1,2015,drugdeaths,139
45,South Carolina,SC,1,2016,drugdeaths,154
45,South Carolina,SC,1,2017,drugdeaths,186
45,South Carolina,SC,2,2010,drugdeaths,136
45,South Carolina,SC,2,2011,drugdeaths,105
45,South Carolina,SC,2,2012,drugdeaths,105
45,South Carolina,SC,2,2013,drugdeaths,109
45,South Carolina,SC,2,2014,drugdeaths,131
45,South Carolina,SC,2,2015,drugdeaths,128
45,South Carolina,SC,2,2016,drugdeaths,138
45,South Carolina,SC,2,2017,drugdeaths,183
45,South Carolina,SC,3,2010,drugdeaths,182
45,South Carolina,SC,3,2011,drugdeaths,158
45,South Carolina,SC,3,2012,drugdeaths,158
45,South Carolina,SC,3,2013,drugdeaths,166
45,South Carolina,SC,3,2014,drugdeaths,192
45,South Carolina,SC,3,2015,drugdeaths,213
45,South Carolina,SC,3,2016,drugdeaths,187
45,South Carolina,SC,3,2017,drugdeaths,219
45,South Carolina,SC,4,2010,drugdeaths,134
45,South Carolina,SC,4,2011,drugdeaths,131
45,South Carolina,SC,4,2012,drugdeaths,111
45,South Carolina,SC,4,2013,drugdeaths,106
45,South Carolina,SC,4,2014,drugdeaths,127
45,South Carolina,SC,4,2015,drugdeaths,164
45,South Carolina,SC,4,2016,drugdeaths,154
45,South Carolina,SC,4,2017,drugdeaths,178
45,South Carolina,SC,5,2010,drugdeaths,117
45,South Carolina,SC,5,2011,drugdeaths,103
45,South Carolina,SC,5,2012,drugdeaths,98
45,South Carolina,SC,5,2013,drugdeaths,87
45,South Carolina,SC,5,2014,drugdeaths,78
45,South Carolina,SC,5,2015,drugdeaths,99
45,South Carolina,SC,5,2016,drugdeaths,127
45,South Carolina,SC,5,2017,drugdeaths,174
45,South Carolina,SC,6,2010,drugdeaths,202
45,South Carolina,SC,6,2011,drugdeaths,156
45,South Carolina,SC,6,2012,drugdeaths,133
45,South Carolina,SC,6,2013,drugdeaths,152
45,South Carolina,SC,6,2014,drugdeaths,179
45,South Carolina,SC,6,2015,drugdeaths,198
45,South Carolina,SC,6,2016,drugdeaths,242
45,South Carolina,SC,6,2017,drugdeaths,305
45,South Carolina,SC,7,2010,drugdeaths,63
45,South Carolina,SC,7,2011,drugdeaths,44
45,South Carolina,SC,7,2012,drugdeaths,35
45,South Carolina,SC,7,2013,drugdeaths,72
45,South Carolina,SC,7,2014,drugdeaths,95
45,South Carolina,SC,7,2015,drugdeaths,76
45,South Carolina,SC,7,2016,drugdeaths,178
45,South Carolina,SC,7,2017,drugdeaths,152
46,South Dakota,SD,1,2010,drugdeaths,45
46,South Dakota,SD,1,2011,drugdeaths,57
46,South Dakota,SD,1,2012,drugdeaths,42
46,South Dakota,SD,1,2013,drugdeaths,55
46,South Dakota,SD,1,2014,drugdeaths,63
46,South Dakota,SD,1,2015,drugdeaths,65
46,South Dakota,SD,1,2016,drugdeaths,69
46,South Dakota,SD,1,2017,drugdeaths,73
47,Tennessee,TN,1,2010,drugdeaths,133
47,Tennessee,TN,1,2011,drugdeaths,152
47,Tennessee,TN,1,2012,drugdeaths,139
47,Tennessee,TN,1,2013,drugdeaths,127
47,Tennessee,TN,1,2014,drugdeaths,162
47,Tennessee,TN,1,2015,drugdeaths,138
47,Tennessee,TN,1,2016,drugdeaths,183
47,Tennessee,TN,1,2017,drugdeaths,199
47,Tennessee,TN,2,2010,drugdeaths,154
47,Tennessee,TN,2,2011,drugdeaths,149
47,Tennessee,TN,2,2012,drugdeaths,133
47,Tennessee,TN,2,2013,drugdeaths,145
47,Tennessee,TN,2,2014,drugdeaths,199
47,Tennessee,TN,2,2015,drugdeaths,228
47,Tennessee,TN,2,2016,drugdeaths,255
47,Tennessee,TN,2,2017,drugdeaths,339
47,Tennessee,TN,3,2010,drugdeaths,134
47,Tennessee,TN,3,2011,drugdeaths,131
47,Tennessee,TN,3,2012,drugdeaths,131
47,Tennessee,TN,3,2013,drugdeaths,148
47,Tennessee,TN,3,2014,drugdeaths,158
47,Tennessee,TN,3,2015,drugdeaths,181
47,Tennessee,TN,3,2016,drugdeaths,198
47,Tennessee,TN,3,2017,drugdeaths,221
47,Tennessee,TN,4,2010,drugdeaths,77
47,Tennessee,TN,4,2011,drugdeaths,36
47,Tennessee,TN,4,2012,drugdeaths,71
47,Tennessee,TN,4,2013,drugdeaths,94
47,Tennessee,TN,4,2014,drugdeaths,100
47,Tennessee,TN,4,2015,drugdeaths,105
47,Tennessee,TN,4,2016,drugdeaths,114
47,Tennessee,TN,4,2017,drugdeaths,111
47,Tennessee,TN,5,2010,drugdeaths,114
47,Tennessee,TN,5,2011,drugdeaths,116
47,Tennessee,TN,5,2012,drugdeaths,121
47,Tennessee,TN,5,2013,drugdeaths,155
47,Tennessee,TN,5,2014,drugdeaths,159
47,Tennessee,TN,5,2015,drugdeaths,189
47,Tennessee,TN,5,2016,drugdeaths,263
47,Tennessee,TN,5,2017,drugdeaths,261
47,Tennessee,TN,6,2010,drugdeaths,75
47,Tennessee,TN,6,2011,drugdeaths,107
47,Tennessee,TN,6,2012,drugdeaths,78
47,Tennessee,TN,6,2013,drugdeaths,85
47,Tennessee,TN,6,2014,drugdeaths,131
47,Tennessee,TN,6,2015,drugdeaths,120
47,Tennessee,TN,6,2016,drugdeaths,140
47,Tennessee,TN,6,2017,drugdeaths,159
47,Tennessee,TN,7,2010,drugdeaths,45
47,Tennessee,TN,7,2011,drugdeaths,50
47,Tennessee,TN,7,2012,drugdeaths,72
47,Tennessee,TN,7,2013,drugdeaths,80
47,Tennessee,TN,7,2014,drugdeaths,76
47,Tennessee,TN,7,2015,drugdeaths,108
47,Tennessee,TN,7,2016,drugdeaths,75
47,Tennessee,TN,7,2017,drugdeaths,93
47,Tennessee,TN,8,2010,drugdeaths,135
47,Tennessee,TN,8,2011,drugdeaths,110
47,Tennessee,TN,8,2012,drugdeaths,132
47,Tennessee,TN,8,2013,drugdeaths,162
47,Tennessee,TN,8,2014,drugdeaths,150
47,Tennessee,TN,8,2015,drugdeaths,229
47,Tennessee,TN,8,2016,drugdeaths,241
47,Tennessee,TN,8,2017,drugdeaths,239
47,Tennessee,TN,9,2010,drugdeaths,135
47,Tennessee,TN,9,2011,drugdeaths,99
47,Tennessee,TN,9,2012,drugdeaths,132
47,Tennessee,TN,9,2013,drugdeaths,140
47,Tennessee,TN,9,2014,drugdeaths,150
47,Tennessee,TN,9,2015,drugdeaths,194
47,Tennessee,TN,9,2016,drugdeaths,198
47,Tennessee,TN,9,2017,drugdeaths,208
48,Texas,TX,1,2010,drugdeaths,21
48,Texas,TX,1,2011,drugdeaths,52
48,Texas,TX,1,2012,drugdeaths,21
48,Texas,TX,1,2013,drugdeaths,24
48,Texas,TX,1,2014,drugdeaths,21
48,Texas,TX,1,2015,drugdeaths,45
48,Texas,TX,1,2016,drugdeaths,41
48,Texas,TX,1,2017,drugdeaths,27
48,Texas,TX,2,2010,drugdeaths,445
48,Texas,TX,2,2011,drugdeaths,385
48,Texas,TX,2,2012,drugdeaths,368
48,Texas,TX,2,2013,drugdeaths,429
48,Texas,TX,2,2014,drugdeaths,403
48,Texas,TX,2,2015,drugdeaths,459
48,Texas,TX,2,2016,drugdeaths,522
48,Texas,TX,2,2017,drugdeaths,536
48,Texas,TX,3,2010,drugdeaths,59
48,Texas,TX,3,2011,drugdeaths,69
48,Texas,TX,3,2012,drugdeaths,66
48,Texas,TX,3,2013,drugdeaths,60
48,Texas,TX,3,2014,drugdeaths,70
48,Texas,TX,3,2015,drugdeaths,72
48,Texas,TX,3,2016,drugdeaths,85
48,Texas,TX,3,2017,drugdeaths,70
48,Texas,TX,4,2010,drugdeaths,98
48,Texas,TX,4,2011,drugdeaths,104
48,Texas,TX,4,2012,drugdeaths,87
48,Texas,TX,4,2013,drugdeaths,95
48,Texas,TX,4,2014,drugdeaths,96
48,Texas,TX,4,2015,drugdeaths,93
48,Texas,TX,4,2016,drugdeaths,97
48,Texas,TX,4,2017,drugdeaths,121
48,Texas,TX,5,2010,drugdeaths,225
48,Texas,TX,5,2011,drugdeaths,250
48,Texas,TX,5,2012,drugdeaths,302
48,Texas,TX,5,2013,drugdeaths,272
48,Texas,TX,5,2014,drugdeaths,382
48,Texas,TX,5,2015,drugdeaths,330
48,Texas,TX,5,2016,drugdeaths,342
48,Texas,TX,5,2017,drugdeaths,364
48,Texas,TX,6,2010,drugdeaths,152
48,Texas,TX,6,2011,drugdeaths,177
48,Texas,TX,6,2012,drugdeaths,198
48,Texas,TX,6,2013,drugdeaths,156
48,Texas,TX,6,2014,drugdeaths,195
48,Texas,TX,6,2015,drugdeaths,191
48,Texas,TX,6,2016,drugdeaths,232
48,Texas,TX,6,2017,drugdeaths,222
48,Texas,TX,7,2010,drugdeaths,445
48,Texas,TX,7,2011,drugdeaths,385
48,Texas,TX,7,2012,drugdeaths,368
48,Texas,TX,7,2013,drugdeaths,429
48,Texas,TX,7,2014,drugdeaths,403
48,Texas,TX,7,2015,drugdeaths,459
48,Texas,TX,7,2016,drugdeaths,522
48,Texas,TX,7,2017,drugdeaths,536
48,Texas,TX,8,2010,drugdeaths,484
48,Texas,TX,8,2011,drugdeaths,429
48,Texas,TX,8,2012,drugdeaths,413
48,Texas,TX,8,2013,drugdeaths,478
48,Texas,TX,8,2014,drugdeaths,446
48,Texas,TX,8,2015,drugdeaths,519
48,Texas,TX,8,2016,drugdeaths,590
48,Texas,TX,8,2017,drugdeaths,634
48,Texas,TX,9,2010,drugdeaths,479
48,Texas,TX,9,2011,drugdeaths,425
48,Texas,TX,9,2012,drugdeaths,387
48,Texas,TX,9,2013,drugdeaths,447
48,Texas,TX,9,2014,drugdeaths,439
48,Texas,TX,9,2015,drugdeaths,493
48,Texas,TX,9,2016,drugdeaths,572
48,Texas,TX,9,2017,drugdeaths,577
48,Texas,TX,10,2010,drugdeaths,565
48,Texas,TX,10,2011,drugdeaths,549
48,Texas,TX,10,2012,drugdeaths,524
48,Texas,TX,10,2013,drugdeaths,595
48,Texas,TX,10,2014,drugdeaths,545
48,Texas,TX,10,2015,drugdeaths,596
48,Texas,TX,10,2016,drugdeaths,669
48,Texas,TX,10,2017,drugdeaths,682
48,Texas,TX,11,2010,drugdeaths,49
48,Texas,TX,11,2011,drugdeaths,42
48,Texas,TX,11,2012,drugdeaths,28
48,Texas,TX,11,2013,drugdeaths,61
48,Texas,TX,11,2014,drugdeaths,75
48,Texas,TX,11,2015,drugdeaths,35
48,Texas,TX,11,2016,drugdeaths,33
48,Texas,TX,11,2017,drugdeaths,46
48,Texas,TX,12,2010,drugdeaths,168
48,Texas,TX,12,2011,drugdeaths,189
48,Texas,TX,12,2012,drugdeaths,205
48,Texas,TX,12,2013,drugdeaths,144
48,Texas,TX,12,2014,drugdeaths,209
48,Texas,TX,12,2015,drugdeaths,195
48,Texas,TX,12,2016,drugdeaths,247
48,Texas,TX,12,2017,drugdeaths,227
48,Texas,TX,13,2010,drugdeaths,41
48,Texas,TX,13,2011,drugdeaths,41
48,Texas,TX,13,2012,drugdeaths,45
48,Texas,TX,13,2013,drugdeaths,52
48,Texas,TX,13,2014,drugdeaths,56
48,Texas,TX,13,2015,drugdeaths,51
48,Texas,TX,13,2016,drugdeaths,66
48,Texas,TX,13,2017,drugdeaths,64
48,Texas,TX,14,2010,drugdeaths,120
48,Texas,TX,14,2011,drugdeaths,125
48,Texas,TX,14,2012,drugdeaths,114
48,Texas,TX,14,2013,drugdeaths,94
48,Texas,TX,14,2014,drugdeaths,102
48,Texas,TX,14,2015,drugdeaths,111
48,Texas,TX,14,2016,drugdeaths,114
48,Texas,TX,14,2017,drugdeaths,127
48,Texas,TX,15,2010,drugdeaths,29
48,Texas,TX,15,2011,drugdeaths,32
48,Texas,TX,15,2012,drugdeaths,30
48,Texas,TX,15,2013,drugdeaths,34
48,Texas,TX,15,2014,drugdeaths,33
48,Texas,TX,15,2015,drugdeaths,38
48,Texas,TX,15,2016,drugdeaths,37
48,Texas,TX,15,2017,drugdeaths,43
48,Texas,TX,16,2010,drugdeaths,55
48,Texas,TX,16,2011,drugdeaths,63
48,Texas,TX,16,2012,drugdeaths,61
48,Texas,TX,16,2013,drugdeaths,73
48,Texas,TX,16,2014,drugdeaths,76
48,Texas,TX,16,2015,drugdeaths,61
48,Texas,TX,16,2016,drugdeaths,83
48,Texas,TX,16,2017,drugdeaths,93
48,Texas,TX,17,2010,drugdeaths,154
48,Texas,TX,17,2011,drugdeaths,195
48,Texas,TX,17,2012,drugdeaths,182
48,Texas,TX,17,2013,drugdeaths,193
48,Texas,TX,17,2014,drugdeaths,182
48,Texas,TX,17,2015,drugdeaths,182
48,Texas,TX,17,2016,drugdeaths,178
48,Texas,TX,17,2017,drugdeaths,168
48,Texas,TX,18,2010,drugdeaths,445
48,Texas,TX,18,2011,drugdeaths,385
48,Texas,TX,18,2012,drugdeaths,368
48,Texas,TX,18,2013,drugdeaths,429
48,Texas,TX,18,2014,drugdeaths,403
48,Texas,TX,18,2015,drugdeaths,459
48,Texas,TX,18,2016,drugdeaths,522
48,Texas,TX,18,2017,drugdeaths,536
48,Texas,TX,19,2010,drugdeaths,38
48,Texas,TX,19,2011,drugdeaths,37
48,Texas,TX,19,2012,drugdeaths,37
48,Texas,TX,19,2013,drugdeaths,45
48,Texas,TX,19,2014,drugdeaths,51
48,Texas,TX,19,2015,drugdeaths,47
48,Texas,TX,19,2016,drugdeaths,57
48,Texas,TX,19,2017,drugdeaths,62
48,Texas,TX,20,2010,drugdeaths,195
48,Texas,TX,20,2011,drugdeaths,264
48,Texas,TX,20,2012,drugdeaths,198
48,Texas,TX,20,2013,drugdeaths,185
48,Texas,TX,20,2014,drugdeaths,192
48,Texas,TX,20,2015,drugdeaths,198
48,Texas,TX,20,2016,drugdeaths,224
48,Texas,TX,20,2017,drugdeaths,210
48,Texas,TX,21,2010,drugdeaths,351
48,Texas,TX,21,2011,drugdeaths,452
48,Texas,TX,21,2012,drugdeaths,371
48,Texas,TX,21,2013,drugdeaths,352
48,Texas,TX,21,2014,drugdeaths,333
48,Texas,TX,21,2015,drugdeaths,362
48,Texas,TX,21,2016,drugdeaths,408
48,Texas,TX,21,2017,drugdeaths,390
48,Texas,TX,22,2010,drugdeaths,506
48,Texas,TX,22,2011,drugdeaths,469
48,Texas,TX,22,2012,drugdeaths,427
48,Texas,TX,22,2013,drugdeaths,478
48,Texas,TX,22,2014,drugdeaths,459
48,Texas,TX,22,2015,drugdeaths,523
48,Texas,TX,22,2016,drugdeaths,606
48,Texas,TX,22,2017,drugdeaths,616
48,Texas,TX,23,2010,drugdeaths,250
48,Texas,TX,23,2011,drugdeaths,327
48,Texas,TX,23,2012,drugdeaths,259
48,Texas,TX,23,2013,drugdeaths,258
48,Texas,TX,23,2014,drugdeaths,268
48,Texas,TX,23,2015,drugdeaths,259
48,Texas,TX,23,2016,drugdeaths,307
48,Texas,TX,23,2017,drugdeaths,303
48,Texas,TX,24,2010,drugdeaths,406
48,Texas,TX,24,2011,drugdeaths,489
48,Texas,TX,24,2012,drugdeaths,510
48,Texas,TX,24,2013,drugdeaths,440
48,Texas,TX,24,2014,drugdeaths,584
48,Texas,TX,24,2015,drugdeaths,528
48,Texas,TX,24,2016,drugdeaths,607
48,Texas,TX,24,2017,drugdeaths,609
48,Texas,TX,25,2010,drugdeaths,315
48,Texas,TX,25,2011,drugdeaths,378
48,Texas,TX,25,2012,drugdeaths,390
48,Texas,TX,25,2013,drugdeaths,347
48,Texas,TX,25,2014,drugdeaths,373
48,Texas,TX,25,2015,drugdeaths,371
48,Texas,TX,25,2016,drugdeaths,420
48,Texas,TX,25,2017,drugdeaths,421
48,Texas,TX,26,2010,drugdeaths,406
48,Texas,TX,26,2011,drugdeaths,489
48,Texas,TX,26,2012,drugdeaths,510
48,Texas,TX,26,2013,drugdeaths,440
48,Texas,TX,26,2014,drugdeaths,584
48,Texas,TX,26,2015,drugdeaths,528
48,Texas,TX,26,2016,drugdeaths,607
48,Texas,TX,26,2017,drugdeaths,609
48,Texas,TX,27,2010,drugdeaths,64
48,Texas,TX,27,2011,drugdeaths,89
48,Texas,TX,27,2012,drugdeaths,69
48,Texas,TX,27,2013,drugdeaths,94
48,Texas,TX,27,2014,drugdeaths,85
48,Texas,TX,27,2015,drugdeaths,67
48,Texas,TX,27,2016,drugdeaths,63
48,Texas,TX,27,2017,drugdeaths,87
48,Texas,TX,28,2010,drugdeaths,240
48,Texas,TX,28,2011,drugdeaths,303
48,Texas,TX,28,2012,drugdeaths,249
48,Texas,TX,28,2013,drugdeaths,248
48,Texas,TX,28,2014,drugdeaths,234
48,Texas,TX,28,2015,drugdeaths,250
48,Texas,TX,28,2016,drugdeaths,285
48,Texas,TX,28,2017,drugdeaths,278
48,Texas,TX,29,2010,drugdeaths,445
48,Texas,TX,29,2011,drugdeaths,385
48,Texas,TX,29,2012,drugdeaths,368
48,Texas,TX,29,2013,drugdeaths,429
48,Texas,TX,29,2014,drugdeaths,403
48,Texas,TX,29,2015,drugdeaths,459
48,Texas,TX,29,2016,drugdeaths,522
48,Texas,TX,29,2017,drugdeaths,536
48,Texas,TX,30,2010,drugdeaths,213
48,Texas,TX,30,2011,drugdeaths,240
48,Texas,TX,30,2012,drugdeaths,266
48,Texas,TX,30,2013,drugdeaths,247
48,Texas,TX,30,2014,drugdeaths,339
48,Texas,TX,30,2015,drugdeaths,290
48,Texas,TX,30,2016,drugdeaths,320
48,Texas,TX,30,2017,drugdeaths,337
48,Texas,TX,31,2010,drugdeaths,58
48,Texas,TX,31,2011,drugdeaths,61
48,Texas,TX,31,2012,drugdeaths,67
48,Texas,TX,31,2013,drugdeaths,67
48,Texas,TX,31,2014,drugdeaths,53
48,Texas,TX,31,2015,drugdeaths,58
48,Texas,TX,31,2016,drugdeaths,51
48,Texas,TX,31,2017,drugdeaths,64
48,Texas,TX,32,2010,drugdeaths,272
48,Texas,TX,32,2011,drugdeaths,309
48,Texas,TX,32,2012,drugdeaths,332
48,Texas,TX,32,2013,drugdeaths,307
48,Texas,TX,32,2014,drugdeaths,409
48,Texas,TX,32,2015,drugdeaths,362
48,Texas,TX,32,2016,drugdeaths,405
48,Texas,TX,32,2017,drugdeaths,407
48,Texas,TX,33,2010,drugdeaths,353
48,Texas,TX,33,2011,drugdeaths,417
48,Texas,TX,33,2012,drugdeaths,454
48,Texas,TX,33,2013,drugdeaths,391
48,Texas,TX,33,2014,drugdeaths,534
48,Texas,TX,33,2015,drugdeaths,469
48,Texas,TX,33,2016,drugdeaths,538
48,Texas,TX,33,2017,drugdeaths,537
48,Texas,TX,34,2010,drugdeaths,44
48,Texas,TX,34,2011,drugdeaths,31
48,Texas,TX,34,2012,drugdeaths,38
48,Texas,TX,34,2013,drugdeaths,44
48,Texas,TX,34,2014,drugdeaths,31
48,Texas,TX,34,2015,drugdeaths,45
48,Texas,TX,34,2016,drugdeaths,39
48,Texas,TX,34,2017,drugdeaths,46
48,Texas,TX,35,2010,drugdeaths,363
48,Texas,TX,35,2011,drugdeaths,453
48,Texas,TX,35,2012,drugdeaths,383
48,Texas,TX,35,2013,drugdeaths,352
48,Texas,TX,35,2014,drugdeaths,346
48,Texas,TX,35,2015,drugdeaths,373
48,Texas,TX,35,2016,drugdeaths,418
48,Texas,TX,35,2017,drugdeaths,405
48,Texas,TX,36,2010,drugdeaths,509
48,Texas,TX,36,2011,drugdeaths,437
48,Texas,TX,36,2012,drugdeaths,409
48,Texas,TX,36,2013,drugdeaths,441
48,Texas,TX,36,2014,drugdeaths,446
48,Texas,TX,36,2015,drugdeaths,488
48,Texas,TX,36,2016,drugdeaths,522
48,Texas,TX,36,2017,drugdeaths,571
49,Utah,UT,1,2010,drugdeaths,87
49,Utah,UT,1,2011,drugdeaths,100
49,Utah,UT,1,2012,drugdeaths,135
49,Utah,UT,1,2013,drugdeaths,107
49,Utah,UT,1,2014,drugdeaths,126
49,Utah,UT,1,2015,drugdeaths,153
49,Utah,UT,1,2016,drugdeaths,157
49,Utah,UT,1,2017,drugdeaths,138
49,Utah,UT,2,2010,drugdeaths,243
49,Utah,UT,2,2011,drugdeaths,294
49,Utah,UT,2,2012,drugdeaths,361
49,Utah,UT,2,2013,drugdeaths,362
49,Utah,UT,2,2014,drugdeaths,365
49,Utah,UT,2,2015,drugdeaths,399
49,Utah,UT,2,2016,drugdeaths,364
49,Utah,UT,2,2017,drugdeaths,379
49,Utah,UT,3,2010,drugdeaths,243
49,Utah,UT,3,2011,drugdeaths,319
49,Utah,UT,3,2012,drugdeaths,344
49,Utah,UT,3,2013,drugdeaths,360
49,Utah,UT,3,2014,drugdeaths,366
49,Utah,UT,3,2015,drugdeaths,380
49,Utah,UT,3,2016,drugdeaths,379
49,Utah,UT,3,2017,drugdeaths,383
49,Utah,UT,4,2010,drugdeaths,243
49,Utah,UT,4,2011,drugdeaths,304
49,Utah,UT,4,2012,drugdeaths,344
49,Utah,UT,4,2013,drugdeaths,346
49,Utah,UT,4,2014,drugdeaths,355
49,Utah,UT,4,2015,drugdeaths,380
49,Utah,UT,4,2016,drugdeaths,366
49,Utah,UT,4,2017,drugdeaths,383
50,Vermont,VT,1,2010,drugdeaths,63
50,Vermont,VT,1,2011,drugdeaths,83
50,Vermont,VT,1,2012,drugdeaths,70
50,Vermont,VT,1,2013,drugdeaths,93
50,Vermont,VT,1,2014,drugdeaths,83
50,Vermont,VT,1,2015,drugdeaths,99
50,Vermont,VT,1,2016,drugdeaths,125
50,Vermont,VT,1,2017,drugdeaths,134
51,Virginia,VA,1,2010,drugdeaths,19
51,Virginia,VA,1,2011,drugdeaths,58
51,Virginia,VA,1,2012,drugdeaths,49
51,Virginia,VA,1,2013,drugdeaths,71
51,Virginia,VA,1,2014,drugdeaths,74
51,Virginia,VA,1,2015,drugdeaths,97
51,Virginia,VA,1,2016,drugdeaths,172
51,Virginia,VA,1,2017,drugdeaths,173
51,Virginia,VA,2,2010,drugdeaths,54
51,Virginia,VA,2,2011,drugdeaths,84
51,Virginia,VA,2,2012,drugdeaths,74
51,Virginia,VA,2,2013,drugdeaths,111
51,Virginia,VA,2,2014,drugdeaths,98
51,Virginia,VA,2,2015,drugdeaths,128
51,Virginia,VA,2,2016,drugdeaths,194
51,Virginia,VA,2,2017,drugdeaths,168
51,Virginia,VA,3,2010,drugdeaths,60
51,Virginia,VA,3,2011,drugdeaths,84
51,Virginia,VA,3,2012,drugdeaths,72
51,Virginia,VA,3,2013,drugdeaths,119
51,Virginia,VA,3,2014,drugdeaths,126
51,Virginia,VA,3,2015,drugdeaths,152
51,Virginia,VA,3,2016,drugdeaths,226
51,Virginia,VA,3,2017,drugdeaths,195
51,Virginia,VA,4,2010,drugdeaths,82
51,Virginia,VA,4,2011,drugdeaths,115
51,Virginia,VA,4,2012,drugdeaths,89
51,Virginia,VA,4,2013,drugdeaths,121
51,Virginia,VA,4,2014,drugdeaths,150
51,Virginia,VA,4,2015,drugdeaths,175
51,Virginia,VA,4,2016,drugdeaths,271
51,Virginia,VA,4,2017,drugdeaths,314
51,Virginia,VA,5,2010,drugdeaths,11
51,Virginia,VA,5,2011,drugdeaths,40
51,Virginia,VA,5,2012,drugdeaths,26
51,Virginia,VA,5,2013,drugdeaths,36
51,Virginia,VA,5,2014,drugdeaths,22
51,Virginia,VA,5,2015,drugdeaths,13
51,Virginia,VA,5,2016,drugdeaths,39
51,Virginia,VA,5,2017,drugdeaths,48
51,Virginia,VA,6,2010,drugdeaths,35
51,Virginia,VA,6,2011,drugdeaths,15
51,Virginia,VA,6,2012,drugdeaths,32
51,Virginia,VA,6,2013,drugdeaths,47
51,Virginia,VA,6,2014,drugdeaths,33
51,Virginia,VA,6,2015,drugdeaths,61
51,Virginia,VA,6,2016,drugdeaths,34
51,Virginia,VA,6,2017,drugdeaths,141
51,Virginia,VA,7,2010,drugdeaths,47
51,Virginia,VA,7,2011,drugdeaths,79
51,Virginia,VA,7,2012,drugdeaths,57
51,Virginia,VA,7,2013,drugdeaths,101
51,Virginia,VA,7,2014,drugdeaths,103
51,Virginia,VA,7,2015,drugdeaths,117
51,Virginia,VA,7,2016,drugdeaths,197
51,Virginia,VA,7,2017,drugdeaths,186
51,Virginia,VA,8,2010,drugdeaths,38
51,Virginia,VA,8,2011,drugdeaths,73
51,Virginia,VA,8,2012,drugdeaths,82
51,Virginia,VA,8,2013,drugdeaths,84
51,Virginia,VA,8,2014,drugdeaths,98
51,Virginia,VA,8,2015,drugdeaths,117
51,Virginia,VA,8,2016,drugdeaths,149
51,Virginia,VA,8,2017,drugdeaths,154
51,Virginia,VA,9,2010,drugdeaths,51
51,Virginia,VA,9,2011,drugdeaths,118
51,Virginia,VA,9,2012,drugdeaths,54
51,Virginia,VA,9,2013,drugdeaths,35
51,Virginia,VA,9,2014,drugdeaths,124
51,Virginia,VA,9,2015,drugdeaths,48
51,Virginia,VA,9,2016,drugdeaths,56
51,Virginia,VA,9,2017,drugdeaths,103
51,Virginia,VA,10,2010,drugdeaths,68
51,Virginia,VA,10,2011,drugdeaths,108
51,Virginia,VA,10,2012,drugdeaths,126
51,Virginia,VA,10,2013,drugdeaths,122
51,Virginia,VA,10,2014,drugdeaths,164
51,Virginia,VA,10,2015,drugdeaths,163
51,Virginia,VA,10,2016,drugdeaths,238
51,Virginia,VA,10,2017,drugdeaths,235
51,Virginia,VA,11,2010,drugdeaths,57
51,Virginia,VA,11,2011,drugdeaths,81
51,Virginia,VA,11,2012,drugdeaths,97
51,Virginia,VA,11,2013,drugdeaths,85
51,Virginia,VA,11,2014,drugdeaths,111
51,Virginia,VA,11,2015,drugdeaths,118
51,Virginia,VA,11,2016,drugdeaths,165
51,Virginia,VA,11,2017,drugdeaths,188
53,Washington,WA,1,2010,drugdeaths,399
53,Washington,WA,1,2011,drugdeaths,451
53,Washington,WA,1,2012,drugdeaths,435
53,Washington,WA,1,2013,drugdeaths,461
53,Washington,WA,1,2014,drugdeaths,456
53,Washington,WA,1,2015,drugdeaths,473
53,Washington,WA,1,2016,drugdeaths,468
53,Washington,WA,1,2017,drugdeaths,513
53,Washington,WA,2,2010,drugdeaths,153
53,Washington,WA,2,2011,drugdeaths,215
53,Washington,WA,2,2012,drugdeaths,188
53,Washington,WA,2,2013,drugdeaths,179
53,Washington,WA,2,2014,drugdeaths,170
53,Washington,WA,2,2015,drugdeaths,200
53,Washington,WA,2,2016,drugdeaths,160
53,Washington,WA,2,2017,drugdeaths,192
53,Washington,WA,3,2010,drugdeaths,111
53,Washington,WA,3,2011,drugdeaths,140
53,Washington,WA,3,2012,drugdeaths,132
53,Washington,WA,3,2013,drugdeaths,130
53,Washington,WA,3,2014,drugdeaths,121
53,Washington,WA,3,2015,drugdeaths,129
53,Washington,WA,3,2016,drugdeaths,117
53,Washington,WA,3,2017,drugdeaths,148
53,Washington,WA,4,2010,drugdeaths,51
53,Washington,WA,4,2011,drugdeaths,44
53,Washington,WA,4,2012,drugdeaths,50
53,Washington,WA,4,2013,drugdeaths,34
53,Washington,WA,4,2014,drugdeaths,63
53,Washington,WA,4,2015,drugdeaths,88
53,Washington,WA,4,2016,drugdeaths,57
53,Washington,WA,4,2017,drugdeaths,101
53,Washington,WA,5,2010,drugdeaths,79
53,Washington,WA,5,2011,drugdeaths,76
53,Washington,WA,5,2012,drugdeaths,88
53,Washington,WA,5,2013,drugdeaths,66
53,Washington,WA,5,2014,drugdeaths,78
53,Washington,WA,5,2015,drugdeaths,105
