H R 5046,YEA,NAY,,H.R.4641,YEA,NAY,,H RES 720,YEA,NAY,,H RES 720,YEA,NAY,,H R 5052,YEA,NAY,,H R 6,YEA,NAY,,H R 6,YEA,NAY,,H RES 949,YEA,NAY,,H RES 949,YEA,NAY,,H R 5687,YEA,NAY,,H R 5788,YEA,NAY,,H RES 934,YEA,NAY,,H RES 934,YEA,NAY,,H R 5327,YEA,NAY,,H R 3832,YEA,NAY,,Name,state,FIPS,year,District,Party,Total_YEA,Total_NAY
,Bass,,,,Bass,,,,Bishop (MI),"Boyle, Brendan F.",,,Blackburn,Brady (PA),,,Barton,,,,Barr,Massie,,,Bonamici,Barton,,,Biggs,Bonamici,,,Barton,"Boyle, Brendan F.",,,Barton,Poe (TX),,,Barr,DeSaulnier,,,Barton,Brady (PA),,,Bergman,Brady (PA),,,Barr,McClintock,,,Barr,,,"Representative Babin, Brian",Texas,48,House: 2015-Present,36,Republican,13,1
,Beatty,,,,Beatty,,,,Bishop (UT),Brady (PA),,,Blum,Brown (FL),,,Bass,,,,Barragán,McClintock,,,"Boyle, Brendan F.",Bergman,,,Bilirakis,"Boyle, Brendan F.",,,Bergman,Brady (PA),,,Bass,Yoho,,,Barragán,Doggett,,,Bergman,Brown (MD),,,Biggs,Brown (MD),,,Barragán,Rohrabacher,,,Barragán,,,"Representative Bacon, Don",Nebraska,31,House: 2017-Present,2,Republican,9,1
,Becerra,,,,Becerra,,,,Black,Brown (FL),,,Bost,Brownley (CA),,,Beatty,,,,Barton,Sanford,,,Brady (PA),Biggs,,,Bishop (MI),Brady (PA),,,Biggs,Brown (MD),,,Bera,,,,Barton,Fudge,,,Biggs,Brownley (CA),,,Bishop (MI),Brownley (CA),,,Barton,,,,Barton,,,"Representative Baird, James R.",Indiana,18,House: 2019-Present,4,Republican,0,0
,Benishek,,,,Benishek,,,,Blackburn,Brownley (CA),,,Boustany,Bustos,,,Becerra,,,,Bass,,,,Brown (MD),Bilirakis,,,Bishop (UT),Brown (MD),,,Bilirakis,Brownley (CA),,,Beyer,,,,Bera,Gonzalez (TX),,,Bishop (MI),Bustos,,,Bishop (UT),Bustos,,,Bass,,,,Bass,,,"Representative Balderson, Troy",Ohio,39,House: 2018-Present,12,Republican,0,0
,Bera,,,,Bera,,,,Blum,Bustos,,,Brat,Butterfield,,,Benishek,,,,Beatty,,,,Brownley (CA),Bishop (MI),,,Blackburn,Brownley (CA),,,Bishop (MI),Bustos,,,Bilirakis,,,,Bergman,"Green, Al",,,Bishop (UT),Butterfield,,,Black,Butterfield,,,Bera,,,,Beatty,,,"Representative Banks, Jim",Indiana,18,House: 2017-Present,3,Republican,8,1
,Beyer,,,,Beyer,,,,Bost,Butterfield,,,Bridenstine,Capps,,,Bera,,,,Bera,,,,Bustos,Bishop (UT),,,Bost,Bustos,,,Blackburn,Butterfield,,,Bishop (GA),,,,Beyer,"Green, Gene",,,Black,Capuano,,,Blackburn,Capuano,,,Bergman,,,,Bera,,,"Representative Barr, Andy",Kentucky,21,House: 2013-Present,6,Republican,12,1
,Bilirakis,,,,Bilirakis,,,,Boustany,Capuano,,,Brooks (AL),Capuano,,,Beyer,,,,Bergman,,,,Butterfield,Blackburn,,,Brady (TX),Butterfield,,,Bost,Capuano,,,Bishop (MI),,,,Biggs,Grijalva,,,Blackburn,Carbajal,,,Blum,Carbajal,,,Beyer,,,,Bergman,,,"Representative Barragán, Nanette Diaz",California,6,House: 2017-Present,44,Democratic,6,4
,Bishop (GA),,,,Bishop (GA),,,,Brady (TX),Cárdenas,,,Brooks (IN),Cárdenas,,,Bilirakis,,,,Beyer,,,,Capuano,Bost,,,Brat,Capuano,,,Brady (TX),Carbajal,,,Bishop (UT),,,,Bilirakis,Hastings,,,Blum,Cárdenas,,,Bost,Cárdenas,,,Bishop (GA),,,,Beyer,,,"Representative Bass, Karen",California,6,House: 2011-Present,37,Democratic,8,7
,Bishop (MI),,,,Bishop (MI),,,,Brat,Carney,,,Buchanan,Carney,,,Bishop (GA),,,,Bilirakis,,,,Carbajal,Brady (TX),,,Brooks (AL),Carbajal,,,Brat,Cárdenas,,,Blunt Rochester,,,,Bishop (GA),Higgins (NY),,,Bost,Carson (IN),,,Brady (TX),Carson (IN),,,Bishop (MI),,,,Biggs,,,"Representative Beatty, Joyce",Ohio,39,House: 2013-Present,3,Democratic,5,3
,Bishop (UT),,,,Bishop (UT),,,,Bridenstine,Carson (IN),,,Buck,Carson (IN),,,Bishop (MI),,,,Bishop (GA),,,,Cárdenas,Brat,,,Brooks (IN),Cárdenas,,,Brooks (AL),Carson (IN),,,Bost,,,,Bishop (MI),Jackson Lee,,,Brady (TX),Cartwright,,,Brat,Cartwright,,,Bishop (UT),,,,Bilirakis,,,"Representative Bera, Ami",California,6,House: 2013-Present,7,Democratic,9,5
